51,Kuala Lumpur,Pos Laju Wangsa Maju,30,29,202002,1,2020-01-31,2020-01-31
52,Kuala Lumpur,Pos Laju Cheras,48,41,202002,1,2020-01-31,2020-01-31
53,Kuala Lumpur,Pos Laju Ampang,18,16,202002,1,2020-01-31,2020-01-31
54,Kuala Lumpur,Pos Laju Batu Caves,19,0,202002,1,2020-01-31,2020-01-31
55,N9,Pos Laju Port Dickson,1,9,202002,1,2020-01-31,2020-01-31
56,N9,Pos Laju Nilai,14,30,202002,1,2020-01-31,2020-01-31
57,N9,Pos Laju Bahau,3,3,202002,1,2020-01-31,2020-01-31
58,N9,Bahau Forward,2,4,202002,1,2020-01-31,2020-01-31
59,Melaka,Pos Laju Melaka,14,32,202002,1,2020-01-31,2020-01-31
60,Melaka,Pos Laju Alor Gajah,2,20,202002,1,2020-01-31,2020-01-31
61,Johor,Pusat Service Poslaju Kulai Ja,8,20,202002,1,2020-01-31,2020-01-31
62,Johor,Pos Laju Bandar Dato Onn,30,32,202002,1,2020-01-31,2020-01-31
63,Johor,Pos Laju Johor Bharu,32,28,202002,1,2020-01-31,2020-01-31
64,Johor,Pos Laju Pekan Nanas,6,19,202002,1,2020-01-31,2020-01-31
65,Johor,Pos Laju Pasir Gudang,22,21,202002,1,2020-01-31,2020-01-31
66,Johor,Pos Laju Kota Tinggi,5,8,202002,1,2020-01-31,2020-01-31
67,Johor,Pos Laju Batu Pahat,3,19,202002,1,2020-01-31,2020-01-31
68,Johor,Pos Laju Muar,9,20,202002,1,2020-01-31,2020-01-31
69,Johor,Pos Laju Segamat,3,13,202002,1,2020-01-31,2020-01-31
70,Johor,Pos Laju Kluang,3,18,202002,1,2020-01-31,2020-01-31
71,Johor,Pos Laju Ayer Hitam,3,9,202002,1,2020-01-31,2020-01-31
72,Johor,Pos Laju Mersing,2,6,202002,1,2020-01-31,2020-01-31
73,Sabah,Pos Laju Labuan,0,13,202002,1,2020-01-31,2020-01-31
74,Sabah,Pos Laju Kota Kinabalu,0,76,202002,1,2020-01-31,2020-01-31
75,Sabah,Pos Laju Keningau,0,6,202002,1,2020-01-31,2020-01-31
76,Sabah,Pos Laju Sandakan,0,21,202002,1,2020-01-31,2020-01-31
77,Sabah,Pos Laju Tawau,0,18,202002,1,2020-01-31,2020-01-31
78,Sabah,Pos Laju Lahad Datu,2,10,202002,1,2020-01-31,2020-01-31
79,Sarawak,Pos Laju Kuching,7,51,202002,1,2020-01-31,2020-01-31
80,Sarawak,Pos Laju Kuching Utara,0,20,202002,1,2020-01-31,2020-01-31
81,Sarawak,Pos Laju Sri Aman,0,5,202002,1,2020-01-31,2020-01-31
82,Sarawak,Pos Laju Sibu,0,19,202002,1,2020-01-31,2020-01-31
83,Sarawak,Pos Laju Sarikei,0,7,202002,1,2020-01-31,2020-01-31
84,Sarawak,Pos Laju Bintulu,2,15,202002,1,2020-01-31,2020-01-31
85,Sarawak,Pos Laju Miri,11,19,202002,1,2020-01-31,2020-01-31
86,Sarawak,Pos Laju Limbang,0,6,202002,1,2020-01-31,2020-01-31
87,N9,Pos Laju Seremban,23,23,202002,1,2020-01-31,2020-01-31
